Aidan Carey,,,tval,xdrag,ydrag,ydrag ratio
,,,4.28,2084.368213,145.8518445,1.013343016
,,,4.29,2089.181838,143.9313659,1.01359809
,,,4.3,2093.995191,142.0004313,1.013861226
,,,4.31,2098.808272,140.0590413,1.014132824
,,,4.32,2103.621082,138.1071966,1.014413311
,,,4.33,2108.43362,136.1448978,1.014703142
,,,4.34,2113.245886,134.1721456,1.015002805
,,,4.35,2118.05788,132.1889407,1.01531282
,,,4.36,2122.869601,130.1952838,1.015633746
,,,4.37,2127.68105,128.1911755,1.015966183
,,,4.38,2132.492226,126.1766165,1.016310776
,,,4.39,2137.303129,124.1516075,1.016668216
,,,4.4,2142.113759,122.1161492,1.017039251
,,,4.41,2146.924115,120.0702422,1.017424687
,,,4.42,2151.734198,118.0138872,1.017825393
,,,4.43,2156.544008,115.9470849,1.018242311
,,,4.44,2161.353543,113.869836,1.018676462
,,,4.45,2166.162805,111.7821411,1.019128953
,,,4.46,2170.971792,109.684001,1.01960099
,,,4.47,2175.780505,107.5754163,1.020093886
,,,4.48,2180.588943,105.4563877,1.020609071
,,,4.49,2185.397107,103.3269159,1.021148114
,,,4.5,2190.204995,101.1870016,1.021712732
,,,4.51,2195.012609,99.03664551,1.022304809
,,,4.52,2199.819946,96.87584826,1.02292642
,,,4.53,2204.627009,94.70461058,1.023579856
,,,4.54,2209.433795,92.52293315,1.024267648
,,,4.55,2214.240306,90.33081668,1.024992605
,,,4.56,2219.04654,88.12826185,1.025757848
,,,4.57,2223.852498,85.91526938,1.02656686
,,,4.58,2228.65818,83.69183994,1.027423536
,,,4.59,2233.463584,81.45797425,1.028332246
,,,4.6,2238.268712,79.21367301,1.029297911
,,,4.61,2243.073563,76.95893692,1.030326095
,,,4.62,2247.878136,74.69376668,1.031423107
,,,4.63,2252.682431,72.418163,1.032596137
,,,4.64,2257.486449,70.13212659,1.033853411
,,,4.65,2262.290189,67.83565816,1.035204387
,,,4.66,2267.093651,65.5287584,1.036659991
,,,4.67,2271.896834,63.21142805,1.038232918
,,,4.68,2276.699739,60.8836678,1.039938002
,,,4.69,2281.502364,58.54547837,1.041792689
,,,4.7,2286.304711,56.19686048,1.043817634
,,,4.71,2291.106779,53.83781484,1.046037478
,,,4.72,2295.908567,51.46834217,1.048481859
,,,4.73,2300.710076,49.08844319,1.051186742
,,,4.74,2305.511304,46.69811862,1.054196208
,,,4.75,2310.312253,44.29736918,1.057564874
,,,4.76,2315.112921,41.88619559,1.061361248
,,,4.77,2319.913309,39.46459858,1.065672437
,,,4.78,2324.713416,37.03257888,1.070610928
,,,4.79,2329.513242,34.59013721,1.076324547
,,,4.8,2334.312787,32.1372743,1.083011531
,,,4.81,2339.112051,29.67399088,1.090944009
,,,4.82,2343.911033,27.20028768,1.100505973
,,,4.83,2348.709733,24.71616543,1.112257342
,,,4.84,2353.508151,22.22162488,1.127047749
,,,4.85,2358.306287,19.71666675,1.146231748
,,,4.86,2363.104141,17.20129178,1.172109362
,,,4.87,2367.901712,14.67550071,1.20892536
,,,4.88,2372.699,12.13929428,1.265475638
,,,4.89,2377.496005,9.592673238,1.36344036
,,,4.9,2382.292726,7.035638315,1.574605803
,,,4.91,2387.089164,4.468190261,2.363709344
,,,4.92,2391.885318,1.890329821,-2.70843297
,,,4.93,2396.681188,-0.697942258,0.211714165
,,,4.94,2401.476774,-3.296625226,0.558209017
,,,4.95,2406.272075,-5.905718336,0.692734939
,,,4.96,2411.067091,-8.525220834,
,,,4.97,0,0,
,,,4.98,0,0,
,,,4.99,0,0,
,,,5,0,0,
,,,5.01,0,0,
,,,5.02,0,0,
,,,5.03,0,0,
,,,5.04,0,0,
,,,5.05,0,0,
,,,5.06,0,0,
,,,5.07,0,0,
,,,5.08,0,0,
,,,5.09,0,0,
,,,5.1,0,0,
,,,5.11,0,0,
,,,5.12,0,0,
,,,5.13,0,0,
,,,5.14,0,0,
,,,5.15,0,0,
